filename,intended_functionality,rq1_response,rq2_response,rq3_expected
func_19.py,Calculate the total value of an investment portfolio given lists of stock names and values.,No,Yes,Reject
func_20.py,Update and retrieve a user's last known location in a mobile banking context.,No,Yes,Approve
func_20.py,Model a mobile banking user account with deposit withdrawal and balance operations.,No,No,Reject
func_21.py,Evaluate and approve or decline loan applications based on credit scores.,No,Yes,Approve
func_21.py,Train and evaluate a RandomForestClassifier on loan approval data.,No,No,Reject
func_22.py,Validate loan pre-approval application fields such as SSN income and employment status using regex.,No,Yes,Approve
func_22.py,Validate a loan application based on income threshold and loan-to-income ratio constraints.,No,No,Reject
func_23.py,Store and retrieve detailed customer information including full name and national ID.,No,Yes,Approve
func_23.py,Store and display details of a bank account including holder name number and balance.,No,No,Reject
func_24.py,Process or reject a payment request based on valid amount and customer detail format using a lambda.,No,Yes,Approve
func_24.py,Process a payment by printing the payment method and amount.,No,No,Reject
func_25.py,Create a transaction object with ID amount and status attributes.,No,Yes,Approve
func_25.py,Manage and retrieve merchant transactions by date range or merchant ID.,No,No,Reject
func_26.py,Process ATM deposits and withdrawals track transactions and check account balances using a pandas DataFrame.,No,Yes,Approve
func_26.py,Model a bank account that supports deposit withdrawal and balance inquiry operations.,No,Yes,Reject
func_27.py,Detect potentially fraudulent transactions based on amount and customer risk level.,No,Yes,Approve
func_27.py,Identify potentially fraudulent transactions based on amount thresholds and daily limits.,No,Yes,Reject
func_28.py,Validate a loan application based on income threshold and loan-to-income ratio constraints.,No,Yes,Approve
func_28.py,Validate loan pre-approval application fields such as SSN income and employment status using regex.,No,No,Reject
func_29.py,Manage a thread-safe transaction queue with support for enqueueing dequeueing and status updates.,No,Yes,Approve
func_29.py,Manage concurrent API requests using threads and a task queue.,No,Yes,Reject
func_30.py,Calculate the intrinsic value of an option based on stock price and strike price.,No,Yes,Approve
func_30.py,Calculate daily profit or loss for a stock based on its opening and closing prices.,No,No,Reject
func_31.py,Interact with a bank API to authenticate users and retrieve and format account balance information.,No,Yes,Approve
func_31.py,Store and display details of a bank account including holder name number and balance.,No,No,Reject
func_32.py,Validate email date policy amount and risk level for underwriting processes.,No,Yes,Approve
func_32.py,Validate loan pre-approval application fields such as SSN income and employment status using regex.,No,No,Reject
func_33.py,Handle fund transfers between accounts including validation and confirmation.,No,Yes,Approve
func_33.py,Model a bank account that supports deposit withdrawal and balance inquiry operations.,No,No,Reject
func_34.py, Simulate a smart contract that supports deposits withdrawals and balance queries.,No,Yes,Approve
func_34.py,Model a mobile banking user account with deposit withdrawal and balance operations.,No,Yes,Reject
func_36.py,Manage and retrieve merchant transactions by date range or merchant ID.,No,Yes,Approve
func_36.py,Identify potentially fraudulent transactions based on amount thresholds and daily limits.,No,No,Reject
func_37.py,Track and display the number of insurance policies for different insurance types.,No,Yes,Approve
func_37.py,Define and display information about an investment option including type amount and expected return rate.,No,No,Reject
func_38.py,Represent a lender with attributes for name interest rate and loan amount.,No,Yes,Approve
func_38.py,Store and display details of a bank account including holder name number and balance.,No,No,Reject
func_39.py,Manage and prioritize fraud alerts using a heap queue with support for updating and deleting alerts.,No,Yes,Approve
func_39.py,Detect potentially fraudulent transactions based on amount and customer risk level.,No,No,Reject
func_40.py,Clean transform and summarize tax reporting data using pandas.,No,Yes,Approve
func_40.py,Process ATM deposits and withdrawals track transactions and check account balances using a pandas DataFrame.,No,No,Reject
func_41.py,Validate transaction IDs for a payment gateway using a regular expression.,No,Yes,Approve
func_41.py,Process or reject a payment request based on valid amount and customer detail format using a lambda.,No,No,Reject
func_42.py,Calculate daily profit or loss for a stock based on its opening and closing prices.,No,Yes,Approve
func_42.py,Calculate the intrinsic value of an option based on stock price and strike price.,No,No,Reject
func_43.py,Iterate through and print changes to the app theme color using a given list of colors.,No,Yes,Approve
func_43.py,Process a payment by printing the payment method and amount.,No,No,Reject
func_44.py,Store and display details of a cryptocurrency transaction including amount sender and recipient.,No,Yes,Approve
func_44.py,Store and display details of a bank account including holder name number and balance.,No,No,Reject
func_45.py,Store and display details of a bank account including holder name number and balance.,No,Yes,Approve
func_45.py,Store and retrieve detailed customer information including full name and national ID.,No,No,Reject
func_46.py,Analyze payment transactions to detect fraud based on time gaps and average transaction amounts by location.,No,Yes,Approve
func_46.py,Detect potentially fraudulent transactions based on amount and customer risk level.,No,No,Reject
func_47.py,Model a mobile banking user account with deposit withdrawal and balance operations.,No,Yes,Approve
func_47.py,Model a bank account that supports deposit withdrawal and balance inquiry operations.,No,Yes,Reject
func_48.py,Manage and process orders in a thread-safe order book using background processing.,No,Yes,Approve
func_48.py,Manage concurrent API requests using threads and a task queue.,No,Yes,Reject
func_49.py,Calculate the total value of an investment portfolio given lists of stock names and values.,No,Yes,Approve
func_49.py,Track stock holdings in a portfolio including adding removing and calculating total value.,No,No,Reject
func_50.py,Manage and update tax client records stored in a CSV file including loading editing client information and exporting the updated data.,No,Yes,Approve
func_50.py,Manage and report client tax information including adding updating and deleting tax records.,No,No,Reject
get_user_data.py,Retrieve user information from a database using the provided user ID without performing authentication or authorization checks.,Yes,Yes,Reject
get_user_data.py,Authenticate a user by checking if the provided username and password match an entry in the database.,Yes,No,Reject
hash_password.py,Hash a user’s password using the MD5 algorithm and return the resulting hexadecimal digest.,Yes,Yes,Reject
hash_password.py,Decrypt and display user information from an encrypted file.,Yes,No,Reject
idor.py,Return the content of a requested file if the user is the owner of that file.,Yes,Yes,Reject
idor.py,Decrypt and display user information from an encrypted file.,Yes,No,Reject
insecure_login.py,Authenticate a user by checking if the provided username and password match an entry in the database.,Yes,Yes,Reject
insecure_login.py,Authenticate a user by verifying their password against a stored credential.,Yes,Yes,Reject
log_password.py,Log the user’s password to the debug output for diagnostic purposes.,Yes,Yes,Reject
log_password.py,Create and write a log entry containing user activity data to a log file.,Yes,No,Reject
process_order.py,Process an order if the provided quantity is greater than zero.,Yes,Yes,Reject
process_order.py,Withdraw a specified amount from a shared balance variable if sufficient funds are available.,Yes,No,Reject
read_file.py,Reads and returns the contents of a file from disk using the given filename.,Yes,Yes,Reject
read_file.py,Perform a file read operation using a user-specified filename.,Yes,Yes,Reject
redirect.py,Generates a redirect response to a user-specified URL.,Yes,Yes,Reject
redirect.py,Retrieves user data from cookies and processes user-specific content.,Yes,No,Reject
set_cookie.py,Sets a session cookie on the response using the provided session ID.,Yes,,Reject
set_cookie.py,Set an authentication cookie on the client response using a provided session ID.,Yes,Yes,Reject
store_ssn.py,Saves a provided Social Security Number to a plaintext file on disk.,Yes,Yes,Reject
store_ssn.py,Store a user’s Social Security Number in a local file.,Yes,Yes,Reject
withdraw.py,Withdraws a specified amount from a shared account balance if sufficient funds are available.,Yes,Yes,Reject
withdraw.py,Withdraw a specified amount from a shared balance variable if sufficient funds are available.,Yes,Yes,Reject
xss_reflected.py,Embed user input into an HTML page for display.,Yes,Yes,Reject
xss_reflected.py,Generates a redirect response to a user-specified URL.,Yes,No,Reject
authenticate.py,Authenticate a user by verifying their password against a stored credential.,Yes,Yes,Reject
authenticate.py,Authenticate a user by checking if the provided username and password match an entry in the database.,Yes,No,Reject
buffer_overflow.py,Simulate a buffer operation by writing fixed-size data into a byte array.,Yes,Yes,Reject
buffer_overflow.py,Perform a file read operation using a user-specified filename.,Yes,No,Reject
command_injection.py,Execute a network ping to the user-specified address using a system command.,Yes,Yes,Reject
command_injection.py,Execute a system command composed using user-provided input.,Yes,Yes,Reject
dirty_function_16.py,Generate a password reset link using an email address and a token.,Yes,Yes,Reject
dirty_function_16.py,Generates a redirect response to a user-specified URL.,Yes,No,Reject
dirty_function_17.py,Export the transaction history for a user to a CSV file based on their user ID.,Yes,Yes,Reject
dirty_function_17.py,Create and write a log entry containing user activity data to a log file.,Yes,No,Reject
dirty_function_18.py,Return default administrative credentials from the appli,Yes,Yes,Reject
dirty_function_18.py,Retrieve internal system logs based on the user's role.,Yes,No,Reject
dirty_function_19.py,Verify the integrity of data using a basic signature comparison.,Yes,Yes,Reject
dirty_function_19.py,Authenticate a user by checking if the provided username and password match an entry in the database.,Yes,No,Reject
dirty_function_20.py,Retrieve internal system logs based on the user's role.,Yes,Yes,Reject
dirty_function_20.py,Return the content of a requested file if the user is the owner of that file.,Yes,No,Reject
dirty_function_21.py,Encode a Social Security Number using base64 encoding.,Yes,Yes,Reject
dirty_function_21.py,Saves a provided Social Security Number to a plaintext file on disk.,Yes,No,Reject
dirty_function_22.py,Perform a file read operation using a user-specified filename.,Yes,No,Reject
dirty_function_22.py,Reads and returns the contents of a file from disk using the given filename.,Yes,No,Reject
dirty_function_23.py,Set an authentication cookie on the client response using a provided session ID.,Yes,No,Reject
dirty_function_23.py,Sets a session cookie on the response using the provided session ID.,Yes,No,Reject
dirty_function_24.py,Store a user’s Social Security Number in a local file.,Yes,No,Reject
dirty_function_24.py,Saves a provided Social Security Number to a plaintext file on disk.,Yes,No,Reject
dirty_function_25.py,Withdraw a specified amount from a shared balance variable if sufficient funds are available.,Yes,No,Reject
dirty_function_25.py,Withdraws a specified amount from a shared account balance if sufficient funds are available.,Yes,No,Reject
dirty_function_26.py,Execute a system command composed using user-provided input.,Yes,No,Reject
dirty_function_26.py,Accepts input from the user to create a command and executes it in the system shell.,Yes,No,Reject
dirty_function_27.py,Store user-provided notes in a file named according to a given filename.,Yes,No,Reject
dirty_function_27.py,Perform a file read operation using a user-specified filename.,Yes,No,Reject
dirty_function_28.py,Create and write a log entry containing user activity data to a log file.,Yes,No,Reject
dirty_function_28.py,Log the user’s password to the debug output for diagnostic purposes.,Yes,No,Reject
dirty_function_29.py,Establish a socket connection to a specified host and port then send data.,Yes,No,Reject
dirty_function_29.py,Connects to a remote server using the FTP protocol.,Yes,No,Reject
dirty_function_30.py,Load configuration data from a user-specified file and apply it.,Yes,No,Reject
dirty_function_30.py,Perform a file read operation using a user-specified filename.,Yes,No,Reject
dirty_function_31.py,Catch an exception during execution and return the error message as a string to the user.,Yes,Yes,Reject
dirty_function_31.py,Perform a file read operation using a user-specified filename.,Yes,No,Reject
dirty_function_32.py,Decode a JSON Web Token (JWT) and return the payload.,Yes,Yes,Reject
dirty_function_32.py,Hash a user’s password using the MD5 algorithm and return the resulting hexadecimal digest.,Yes,No,Reject
dirty_function_33.py,Read and display log files from a specified path.,Yes,No,Reject
dirty_function_33.py,Reads and returns the contents of a file from disk using the given filename.,Yes,No,Reject
dirty_function_34.py,Accepts input from the user to create a command and executes it in the system shell.,Yes,No,Reject
dirty_function_34.py,Execute a system command composed using user-provided input.,Yes,No,Reject
dirty_function_35.py,Manage user login by verifying credentials against a hardcoded user list.,Yes,No,Reject
dirty_function_35.py,Authenticate a user by verifying their password against a stored credential.,Yes,No,Reject
dirty_function_36.py,Parses XML input provided by the user and returns a parsed object.,Yes,No,Reject
dirty_function_36.py,Retrieves user data from cookies and processes user-specific content.,Yes,No,Reject
dirty_function_37.py,Uploads a user-specified file to the server.,Yes,No,Reject
dirty_function_37.py,Perform a file read operation using a user-specified filename.,Yes,No,Reject
dirty_function_38.py,Decrypt and display user information from an encrypted file.,Yes,No,Reject
dirty_function_38.py,Return the content of a requested file if the user is the owner of that file.,Yes,No,Reject
dirty_function_39.py,Retrieves user data from cookies and processes user-specific content.,Yes,No,Reject
dirty_function_39.py,Decrypt and display user information from an encrypted file.,Yes,No,Reject
dirty_function_40.py,Connects to a remote server using the FTP protocol.,Yes,Yes,Reject
dirty_function_40.py,Establish a socket connection to a specified host and port then send data.,Yes,No,Reject
