filename,intended_functionality,rq1_response,rq2_response,RQ3_Response,RQ3_Label,RQ3_Expected,is_correct
dirty_function_20.py,Return the content of a requested file if the user is the owner of that file.,Yes,No,Reject,reject,reject,True
dirty_function_21.py,Encode a Social Security Number using base64 encoding.,Yes,Yes,Reject,reject,reject,True
dirty_function_21.py,Saves a provided Social Security Number to a plaintext file on disk.,Yes,No,Reject,reject,reject,True
dirty_function_22.py,Perform a file read operation using a user-specified filename.,Yes,No,Reject,reject,reject,True
dirty_function_22.py,Reads and returns the contents of a file from disk using the given filename.,Yes,No,Reject,reject,reject,True
dirty_function_23.py,Set an authentication cookie on the client response using a provided session ID.,Yes,No,Reject,reject,reject,True
dirty_function_23.py,Sets a session cookie on the response using the provided session ID.,Yes,No,Reject,reject,reject,True
dirty_function_24.py,Store a user’s Social Security Number in a local file.,Yes,No,Reject,reject,reject,True
dirty_function_24.py,Saves a provided Social Security Number to a plaintext file on disk.,Yes,No,Reject,reject,reject,True
dirty_function_25.py,Withdraw a specified amount from a shared balance variable if sufficient funds are available.,Yes,No,Reject,reject,reject,True
dirty_function_25.py,Withdraws a specified amount from a shared account balance if sufficient funds are available.,Yes,No,Reject,reject,reject,True
dirty_function_26.py,Execute a system command composed using user-provided input.,Yes,No,Reject,reject,reject,True
dirty_function_26.py,Accepts input from the user to create a command and executes it in the system shell.,Yes,No,Reject,reject,reject,True
dirty_function_27.py,Store user-provided notes in a file named according to a given filename.,Yes,No,Reject,reject,reject,True
dirty_function_27.py,Perform a file read operation using a user-specified filename.,Yes,No,Reject,reject,reject,True
dirty_function_28.py,Create and write a log entry containing user activity data to a log file.,Yes,No,Reject,reject,reject,True
dirty_function_28.py,Log the user’s password to the debug output for diagnostic purposes.,Yes,No,Reject,reject,reject,True
dirty_function_29.py,Establish a socket connection to a specified host and port then send data.,Yes,No,Reject,reject,reject,True
dirty_function_29.py,Connects to a remote server using the FTP protocol.,Yes,No,Reject,reject,reject,True
dirty_function_30.py,Load configuration data from a user-specified file and apply it.,Yes,No,Reject,reject,reject,True
dirty_function_30.py,Perform a file read operation using a user-specified filename.,Yes,No,Reject,reject,reject,True
dirty_function_31.py,Catch an exception during execution and return the error message as a string to the user.,Yes,Yes,Reject,reject,reject,True
dirty_function_31.py,Perform a file read operation using a user-specified filename.,Yes,No,Reject,reject,reject,True
dirty_function_32.py,Decode a JSON Web Token (JWT) and return the payload.,Yes,Yes,Reject,reject,reject,True
dirty_function_32.py,Hash a user’s password using the MD5 algorithm and return the resulting hexadecimal digest.,Yes,No,Reject,reject,reject,True
dirty_function_33.py,Read and display log files from a specified path.,Yes,No,Reject,reject,reject,True
dirty_function_33.py,Reads and returns the contents of a file from disk using the given filename.,Yes,No,Reject,reject,reject,True
dirty_function_34.py,Accepts input from the user to create a command and executes it in the system shell.,Yes,No,Reject,reject,reject,True
dirty_function_34.py,Execute a system command composed using user-provided input.,Yes,No,Reject,reject,reject,True
dirty_function_35.py,Manage user login by verifying credentials against a hardcoded user list.,Yes,No,Reject,reject,reject,True
dirty_function_35.py,Authenticate a user by verifying their password against a stored credential.,Yes,No,Reject,reject,reject,True
dirty_function_36.py,Parses XML input provided by the user and returns a parsed object.,Yes,No,Reject,reject,reject,True
dirty_function_36.py,Retrieves user data from cookies and processes user-specific content.,Yes,No,Reject,reject,reject,True
dirty_function_37.py,Uploads a user-specified file to the server.,Yes,No,Reject,reject,reject,True
dirty_function_37.py,Perform a file read operation using a user-specified filename.,Yes,No,Reject,reject,reject,True
dirty_function_38.py,Decrypt and display user information from an encrypted file.,Yes,No,Reject,reject,reject,True
dirty_function_38.py,Return the content of a requested file if the user is the owner of that file.,Yes,No,Reject,reject,reject,True
dirty_function_39.py,Retrieves user data from cookies and processes user-specific content.,Yes,No,Reject,reject,reject,True
dirty_function_39.py,Decrypt and display user information from an encrypted file.,Yes,No,Reject,reject,reject,True
dirty_function_40.py,Connects to a remote server using the FTP protocol.,Yes,Yes,Reject,reject,reject,True
dirty_function_40.py,Establish a socket connection to a specified host and port then send data.,Yes,No,Reject,reject,reject,True
